feature,gain,split_count
tree__edge_20_to_10_child_mean_minus_parent_std,6.00568151473999,15.0
tree__edge_160_to_80_child_max_minus_parent_mean,5.983257293701172,8.0
tree__level_160_near_max_002_fraction,5.964086532592773,9.0
tree__edge_80_to_40_parent_child_max_correlation,5.918191909790039,41.0
tree__edge_40_to_20_child_max_minus_parent_mean,5.917786121368408,16.0
tree__edge_160_to_80_child_mean_minus_parent_max,5.9171142578125,49.0
tree__edge_40_to_20_sibling_abs_gap_std,5.900175094604492,3.0
tree__level_20_q50,5.844177722930908,11.0
tree__edge_160_to_80_child_max_minus_parent_q10,5.825915336608887,21.0
tree__edge_80_to_40_sibling_abs_gap_mean,5.780136585235596,11.0
tree__level_40_top2_mean,5.764469623565674,3.0
tree__edge_40_to_20_parent_child_max_correlation,5.731232166290283,28.0
tree__edge_160_to_80_sibling_abs_gap_q90,5.7203593254089355,7.0
tree__edge_160_to_80_sibling_abs_gap_q10,5.712206840515137,15.0
tree__edge_160_to_80_child_max_minus_parent_q50,5.590786933898926,55.0
tree__edge_160_to_80_parent_child_max_correlation,5.566980361938477,17.0
tree__level_160_mean,5.560030460357666,2.0
tree__level_80_max_mean_gap,5.527958393096924,11.0
tree__level_10_q50,5.527343273162842,25.0
tree__level_20_std,5.508142948150635,7.0
tree__edge_80_to_40_child_mean_minus_parent_std,5.486148834228516,19.0
tree__level_160_margin_top1_top2,5.481698036193848,16.0
tree__level_80_std,5.477439880371094,6.0
tree__edge_20_to_10_sibling_abs_gap_q90,5.474996566772461,23.0
tree__edge_40_to_20_child_mean_minus_parent_mean,5.448055267333984,4.0
tree__edge_20_to_10_child_mean_minus_parent_max,5.422449588775635,14.0
tree__level_160_top10_mean,5.406734943389893,7.0
tree__edge_160_to_80_sibling_abs_gap_q50,5.368322849273682,15.0
tree__level_40_softmax_entropy_norm_t005,5.3559088706970215,13.0
tree__edge_20_to_10_child_mean_minus_parent_q90,5.342025279998779,5.0
tree__edge_40_to_20_child_max_minus_parent_q50,5.3281354904174805,32.0
tree__edge_160_to_80_sibling_abs_gap_std,5.320992469787598,13.0
tree__level_40_near_max_002_fraction,5.309351921081543,10.0
tree__edge_160_to_80_child_max_minus_parent_max,5.291550636291504,18.0
tree__edge_40_to_20_child_max_minus_parent_q90,5.284966468811035,28.0
tree__level_40_margin_top1_top2,5.283965110778809,41.0
tree__edge_20_to_10_child_max_minus_parent_mean,5.262050628662109,5.0
tree__edge_40_to_20_child_mean_minus_parent_q50,5.190742492675781,9.0
tree__edge_20_to_10_child_mean_minus_parent_q50,5.1325907707214355,3.0
tree__edge_80_to_40_child_mean_minus_parent_q10,5.079339504241943,11.0
tree__edge_20_to_10_child_max_minus_parent_q10,5.047670841217041,13.0
tree__level_10_top5_mean,5.046723365783691,10.0
tree__level_10_near_max_005_fraction,5.04262113571167,35.0
tree__edge_20_to_10_sibling_abs_gap_q10,5.023079872131348,21.0
tree__edge_20_to_10_child_max_minus_parent_q90,4.96130895614624,27.0
tree__level_10_q75,4.9580559730529785,1.0
tree__level_20_mean,4.92039155960083,4.0
tree__edge_40_to_20_sibling_abs_gap_max,4.89755392074585,14.0
tree__edge_40_to_20_sibling_abs_gap_q50,4.884377479553223,6.0
tree__level_80_near_max_005_fraction,4.872011661529541,22.0
tree__level_80_top2_mean,4.8661088943481445,4.0
tree__edge_80_to_40_child_max_minus_parent_mean,4.861135482788086,18.0
