feature,gain,split_count
tree__edge_20_to_10_sibling_abs_gap_q10,5.869806289672852,10.0
tree__level_10_mean,5.831408977508545,14.0
tree__level_80_max,5.793156623840332,1.0
tree__edge_80_to_40_parent_child_max_correlation,5.743276119232178,26.0
tree__edge_80_to_40_child_mean_minus_parent_mean,5.69856071472168,6.0
tree__level_160_margin_top1_top2,5.685615539550781,12.0
tree__edge_20_to_10_child_mean_minus_parent_q90,5.677948951721191,8.0
tree__edge_160_to_80_child_max_minus_parent_q10,5.66558837890625,18.0
tree__edge_80_to_40_child_mean_minus_parent_std,5.648404121398926,11.0
tree__edge_40_to_20_near_equal_002_fraction,5.621170520782471,20.0
tree__edge_20_to_10_child_max_minus_parent_q90,5.604222774505615,19.0
tree__edge_160_to_80_child_mean_minus_parent_q90,5.513359546661377,29.0
tree__edge_80_to_40_child_max_minus_parent_max,5.451181411743164,26.0
tree__edge_20_to_10_child_mean_minus_parent_max,5.415085792541504,10.0
tree__level_40_near_max_002_fraction,5.413591384887695,6.0
tree__level_20_softmax_entropy_norm_t005,5.413236141204834,16.0
tree__edge_20_to_10_near_equal_005_fraction,5.406067848205566,9.0
tree__level_40_q50,5.400219917297363,2.0
tree__level_40_margin_top1_top2,5.39259147644043,29.0
tree__level_40_top2_mean,5.384061813354492,2.0
tree__level_40_std,5.3542160987854,15.0
tree__level_80_max_mean_gap,5.350834846496582,5.0
tree__level_40_mean,5.340432643890381,3.0
tree__level_10_margin_top1_top2,5.317286491394043,41.0
tree__edge_160_to_80_child_mean_minus_parent_max,5.3109822273254395,31.0
tree__edge_160_to_80_child_max_minus_parent_q90,5.261541843414307,11.0
tree__edge_80_to_40_sibling_abs_gap_q10,5.198245525360107,22.0
tree__level_20_log_count,5.18016242980957,1.0
tree__level_10_top5_mean,5.1624979972839355,4.0
tree__edge_80_to_40_child_max_minus_parent_q50,5.137669563293457,21.0
tree__level_40_softmax_entropy_norm_t005,5.136623382568359,5.0
tree__level_80_softmax_effective_fraction_t005,5.131044387817383,18.0
tree__edge_160_to_80_parent_child_max_correlation,5.066714763641357,7.0
tree__edge_40_to_20_child_mean_minus_parent_q50,5.065135478973389,6.0
tree__level_160_mean,5.036551475524902,3.0
tree__edge_20_to_10_child_mean_minus_parent_q10,4.990812301635742,3.0
tree__level_20_q50,4.962839126586914,8.0
tree__level_20_std,4.919137477874756,10.0
tree__edge_40_to_20_child_max_minus_parent_q90,4.912174224853516,16.0
tree__edge_20_to_10_child_mean_minus_parent_mean,4.905350685119629,5.0
tree__edge_80_to_40_child_max_minus_parent_mean,4.892158508300781,6.0
tree__edge_20_to_10_sibling_abs_gap_q50,4.886952877044678,6.0
tree__edge_20_to_10_child_mean_minus_parent_q50,4.882074356079102,8.0
tree__level_80_near_max_005_fraction,4.86863899230957,17.0
tree__level_80_margin_top1_top2,4.762861251831055,18.0
tree__level_40_max_mean_gap,4.72991943359375,8.0
tree__level_160_near_max_002_fraction,4.718573570251465,13.0
tree__edge_40_to_20_child_mean_minus_parent_std,4.714702129364014,11.0
tree__level_160_top10_mean,4.644724369049072,5.0
tree__level_160_max,4.581072807312012,7.0
tree__edge_80_to_40_child_mean_minus_parent_q50,4.504377841949463,7.0
tree__edge_160_to_80_sibling_abs_gap_std,4.410379886627197,5.0
tree__edge_40_to_20_parent_child_max_correlation,4.352939128875732,22.0
tree__edge_40_to_20_child_max_minus_parent_q50,4.2699408531188965,15.0
tree__edge_160_to_80_child_max_minus_parent_mean,4.226681232452393,10.0
tree__level_20_mean,4.176359176635742,6.0
tree__edge_40_to_20_child_mean_minus_parent_q10,4.147683620452881,7.0
tree__level_40_q90,4.1324052810668945,1.0
tree__level_40_top5_mean,4.065632343292236,1.0
tree__edge_40_to_20_argmax_alignment,4.0243659019470215,1.0
tree__level_160_q95,3.984131336212158,2.0
tree__level_40_q75,3.8314266204833984,4.0
tree__level_10_max_mean_gap,3.8280856609344482,6.0
tree__level_80_top10_mean,3.5236475467681885,1.0
tree__edge_20_to_10_argmax_alignment,3.034417152404785,5.0
tree__level_40_max,2.9391720294952393,3.0
tree__edge_20_to_10_sibling_abs_gap_mean,2.897138833999634,3.0
tree__edge_80_to_40_child_max_minus_parent_q10,2.4864602088928223,3.0
tree__level_80_q75,0.24692726135253906,2.0
tree__edge_160_to_80_argmax_alignment,0.0,0.0
tree__edge_20_to_10_near_equal_002_fraction,0.0,0.0
tree__level_160_q90,0.0,0.0
tree__level_80_log_count,0.0,0.0
tree__level_80_q90,0.0,0.0
tree__level_80_top5_mean,0.0,0.0
