feature,gain,split_count
edge_160_to_80_child_max_minus_parent_q10,5.646230220794678,15.0
edge_40_to_20_parent_child_max_correlation,5.6424784660339355,31.0
level_10_softmax_entropy_norm_t005,5.631685733795166,28.0
edge_80_to_40_child_mean_minus_parent_q50,5.611159324645996,10.0
edge_40_to_20_child_max_minus_parent_q90,5.60530424118042,26.0
level_160_margin_top1_top2,5.602629661560059,29.0
level_40_near_max_005_fraction,5.591589450836182,17.0
edge_160_to_80_parent_child_max_correlation,5.586521148681641,25.0
level_20_softmax_entropy_norm_t005,5.574677467346191,9.0
level_160_top10_mean,5.5567626953125,3.0
edge_20_to_10_near_equal_002_fraction,5.546325206756592,6.0
level_40_std,5.533830165863037,7.0
edge_80_to_40_child_max_minus_parent_q50,5.489318370819092,24.0
level_20_q75,5.454015731811523,2.0
edge_20_to_10_child_max_minus_parent_q50,5.444025993347168,23.0
level_40_softmax_entropy_norm_t005,5.392455577850342,18.0
edge_40_to_20_sibling_abs_gap_max,5.387535572052002,12.0
edge_80_to_40_child_max_minus_parent_q10,5.376251220703125,17.0
edge_40_to_20_sibling_abs_gap_q50,5.325723171234131,4.0
edge_20_to_10_child_max_minus_parent_q10,5.317162990570068,7.0
edge_80_to_40_child_mean_minus_parent_q10,5.2796244621276855,9.0
level_80_softmax_effective_fraction_t005,5.274660587310791,13.0
level_160_std,5.259933948516846,17.0
level_20_mean,5.236717224121094,5.0
edge_40_to_20_argmax_alignment,5.222198009490967,13.0
level_10_near_max_005_fraction,5.221264362335205,26.0
edge_40_to_20_child_mean_minus_parent_std,5.172297477722168,7.0
edge_40_to_20_child_mean_minus_parent_q10,5.149929523468018,3.0
edge_20_to_10_child_mean_minus_parent_q90,5.1202239990234375,9.0
level_10_q50,5.11350679397583,40.0
level_160_near_max_002_fraction,5.062051773071289,17.0
level_40_margin_top1_top2,5.059436798095703,33.0
edge_40_to_20_child_max_minus_parent_q50,5.055357456207275,28.0
level_80_std,5.05177640914917,6.0
level_160_log_count,5.046415328979492,6.0
edge_40_to_20_sibling_abs_gap_q90,4.938226699829102,6.0
level_20_q50,4.893672466278076,13.0
level_80_near_max_005_fraction,4.845503807067871,26.0
edge_160_to_80_child_max_minus_parent_mean,4.8224592208862305,13.0
level_80_max_mean_gap,4.757669448852539,13.0
edge_160_to_80_child_max_minus_parent_std,4.7446136474609375,18.0
edge_20_to_10_sibling_abs_gap_q10,4.707916736602783,22.0
edge_80_to_40_child_mean_minus_parent_mean,4.592400074005127,12.0
level_80_log_count,4.518467426300049,1.0
level_40_near_max_002_fraction,4.509860992431641,17.0
level_10_top5_mean,4.459904670715332,13.0
edge_20_to_10_sibling_abs_gap_mean,4.448324203491211,9.0
level_80_max,4.395090579986572,2.0
level_160_max_mean_gap,4.3721604347229,2.0
level_40_mean,4.304168224334717,6.0
edge_80_to_40_child_max_minus_parent_mean,4.2360029220581055,13.0
edge_80_to_40_sibling_abs_gap_mean,4.154543399810791,14.0
level_160_softmax_effective_fraction_t005,4.139347553253174,5.0
level_160_top5_mean,3.9956202507019043,2.0
level_10_q75,3.8442742824554443,3.0
edge_20_to_10_argmax_alignment,3.6744489669799805,3.0
edge_160_to_80_argmax_alignment,0.0,0.0
level_160_top2_mean,0.0,0.0
level_80_q95,0.0,0.0
level_80_top5_mean,0.0,0.0
